,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
0,concrete_slump,relu,0,125,3.487449044372538,0.9520420364974128,0.6916667378364099,0.9074870291427796
1,concrete_slump,tanh,0,125,2.6203167410316057,2.125590200285207,0.41851051718929083,0.7447800296727567
2,concrete_slump,relu,0,250,2.9060293497042986,0.8852664298362688,0.6198995099222397,0.9199614305131517
3,concrete_slump,tanh,0,250,2.333841465522425,1.7524625912920808,0.3832275696085641,0.8107843846815308
4,concrete_slump,relu,0,500,3.004128769283435,0.9776092832008972,0.6586822601476587,0.9216385165980888
5,concrete_slump,tanh,0,500,1.99704177772607,1.5318133541351033,0.36434381652992576,0.8389557217958435
6,concrete_slump,relu,0,1000,2.4363995716216453,0.9487136004868403,0.6121502690008545,0.9304647489753076
7,concrete_slump,tanh,0,1000,1.6218602155391637,1.3159610971455848,0.291860158082691,0.8695026959303821
8,concrete_slump,relu,0,2000,2.7606607696371266,1.1152258586040855,0.50365541964024,0.8799340545326512
9,concrete_slump,tanh,0,2000,1.4675826070109033,1.1446260178459517,0.2092670099411323,0.9374756886763101
10,concrete_slump,relu,0,4000,2.942212589980589,1.2383925153838748,0.38827691395469655,0.9324197865691012
11,concrete_slump,tanh,0,4000,1.3037124888951872,1.0522445200883719,0.11402913829179115,0.9373533254758182
12,concrete_slump,relu,0,8000,2.4590859538712846,1.3338898318233388,0.2813954939898547,0.9501461138946239
13,concrete_slump,tanh,0,8000,1.0782699327598817,0.7203598726475324,0.07767297931659597,0.981432413305117
14,concrete_slump,relu,0,16000,2.6689609618332923,1.56091552191682,0.23697230769390334,0.994524531016833
15,concrete_slump,tanh,0,16000,0.9096708571084744,0.47645104981195563,0.033922267142205156,1.0715971900499668
16,concrete_slump,relu,1,125,2.309752454581859,0.8097451737000017,0.6505639197762202,0.6067033418934655
17,concrete_slump,tanh,1,125,2.066290753655459,1.4346299540630991,0.4185402252769863,0.5564705279395784
18,concrete_slump,relu,1,250,2.8469246990217023,0.9271787372679743,0.6617728697932885,0.5721984284752375
19,concrete_slump,tanh,1,250,2.1743416295724614,1.676020287451622,0.3850877065434313,0.564055024366519
20,concrete_slump,relu,1,500,2.854816536661255,1.0454753060514943,0.6277294551178093,0.6443047295978109
21,concrete_slump,tanh,1,500,1.9526934887061893,1.562239775603784,0.3623552973077657,0.5952802187347175
22,concrete_slump,relu,1,1000,2.842042128260091,0.9964728074660335,0.6107834196407154,0.6654215270921833
