,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
0,sin100,relu,0,125,2.7378365673191856,1.3831205896398187,0.645886096511786,0.2560456097126007
1,sin100,tanh,0,125,1.3142265316894008,0.9412688005543709,0.39743394497080287,0.2319766730070114
2,sin100,relu,0,250,2.7019383926177776,1.4534536741138864,0.6633571658826851,0.2597971558570862
3,sin100,tanh,0,250,1.199359217412602,0.8519235279625959,0.3764377802803832,0.23545530438423157
4,sin100,relu,0,500,1.3411422843827903,0.8741214946009346,0.6171803558324018,0.26849690079689026
5,sin100,tanh,0,500,1.2127083946256163,0.816801010162741,0.3706228796654291,0.24150098860263824
6,sin100,relu,0,1000,2.4355768519716903,1.480091858736666,0.6383659973950232,0.2788773477077484
7,sin100,tanh,0,1000,1.1101341753167377,0.7736986050118108,0.28909143714716984,0.25870513916015625
8,sin100,relu,0,2000,1.2715879462375224,0.7494652968333735,0.5085513353568979,0.29924875497817993
9,sin100,tanh,0,2000,1.0687407354831597,0.7412424001247753,0.19262277764604527,0.29445502161979675
10,sin100,relu,0,4000,1.452871972630034,0.7923006510693258,0.40527811046433804,0.3588002920150757
11,sin100,tanh,0,4000,0.9454913241022294,0.6056821364252113,0.13199060540229166,0.3914547264575958
12,sin100,relu,0,8000,1.2460087003032487,0.7100502058485354,0.31834120111972924,0.4064188301563263
13,sin100,tanh,0,8000,0.7546272253226995,0.4315341383311256,0.0678477913701055,0.5299288630485535
14,sin100,relu,0,16000,1.1061835460354186,0.6105957796111507,0.18237111267731684,0.5240747928619385
15,sin100,tanh,0,16000,0.4477366053902913,0.288057067388393,0.03510989144104043,0.7142215967178345
16,sin100,relu,1,125,1.2879710928544,0.8670167286242194,0.7053347562817578,0.2610428035259247
17,sin100,tanh,1,125,1.2009509222628307,0.9404106086215556,0.3876274882853123,0.22618548572063446
18,sin100,relu,1,250,2.5999653711053954,1.5859438564202282,0.670365164849914,0.27144575119018555
19,sin100,tanh,1,250,1.1628693351804424,0.8461200729664118,0.363857608244826,0.24092485010623932
20,sin100,relu,1,500,2.59578753090998,1.5226354863937934,0.6254409404998585,0.27939507365226746
21,sin100,tanh,1,500,1.1479453803828337,0.8289474069074143,0.37024378242215356,0.2543871998786926
22,sin100,relu,1,1000,2.566704993651508,1.5777778471174035,0.5874369590094431,0.30147096514701843
23,sin100,tanh,1,1000,1.0824099665414888,0.8312990010594447,0.2874880618147442,0.2794501483440399
24,sin100,relu,1,2000,1.5269610283042867,0.8027137212471238,0.5534971245725389,0.338688462972641
25,sin100,tanh,1,2000,1.0387712675411158,0.7166255964631904,0.2015953655906973,0.34262144565582275
26,sin100,relu,1,4000,1.5838969484144314,0.9246901114062335,0.42922452798954946,0.36909276247024536
27,sin100,tanh,1,4000,0.8974276366726816,0.6053087456465507,0.11461529571439245,0.4279887080192566
28,sin100,relu,1,8000,1.369363732466807,0.7283015507850095,0.3439160482957876,0.4521001875400543
29,sin100,tanh,1,8000,0.702205751560035,0.47635650728192974,0.08862315111269539,0.5902673602104187
30,sin100,relu,1,16000,1.2929426010359466,0.6715255991830156,0.2639447285563335,0.5505204796791077
31,sin100,tanh,1,16000,0.4524466699580892,0.28781914293597183,0.030859832065486287,0.7903607487678528
32,sin100,relu,2,125,2.600721638562799,1.7910625636450224,0.6378627731018425,0.2781776189804077
33,sin100,tanh,2,125,1.2471606249704845,0.8777528804116111,0.39395250201062154,0.24545422196388245
34,sin100,relu,2,250,2.6635669057104376,1.601500470417164,0.6587654147410646,0.2829350233078003
35,sin100,tanh,2,250,1.2706659001279326,0.941087942737454,0.4026268920259702,0.24555200338363647
36,sin100,relu,2,500,2.5244263175650996,1.3592175579759262,0.6283822969553109,0.287706196308136
37,sin100,tanh,2,500,1.25942966241717,0.8706481694768311,0.3652265845028884,0.2594185173511505
38,sin100,relu,2,1000,2.581116921005622,1.419029184749735,0.6074804570696318,0.2977610230445862
39,sin100,tanh,2,1000,1.2561948266471383,0.8469221874785958,0.28489512815644574,0.28605809807777405
40,sin100,relu,2,2000,2.040258611798223,1.0477313253704743,0.5402851990708405,0.3262674808502197
41,sin100,tanh,2,2000,1.2229465982841328,0.7932137369614353,0.1923069127136674,0.3327864408493042
42,sin100,relu,2,4000,1.8726041495203867,1.0861626604547046,0.43380514335090037,0.3590075969696045
43,sin100,tanh,2,4000,1.125387934792541,0.6826011921713011,0.14903301880207748,0.4154973328113556
44,sin100,relu,2,8000,1.4614738282932402,0.7583637890320529,0.3184457184461594,0.41790780425071716
45,sin100,tanh,2,8000,1.029830295908585,0.5694565588291766,0.07328674130506675,0.578289806842804
46,sin100,relu,2,16000,1.407671919724065,0.7855909302573486,0.20547073298518032,0.5087680220603943
47,sin100,tanh,2,16000,0.8217696463538887,0.4733658442311738,0.02647326037826054,0.7359034419059753
48,sin100,relu,3,125,2.7849650084273145,1.7411383442519965,0.6609588206652278,0.22977378964424133
49,sin100,tanh,3,125,1.2440897255266627,0.9831546621360315,0.41963627476686327,0.19612812995910645
50,sin100,relu,3,250,2.8613626285806837,1.634944933218175,0.6578860362781964,0.2336553931236267
51,sin100,tanh,3,250,1.2399275230155506,0.9644032442054145,0.3972399106115798,0.19882352650165558
52,sin100,relu,3,500,1.6772676225920764,0.9663722394129014,0.5653434793012424,0.23639421164989471
53,sin100,tanh,3,500,1.209539231417588,0.9138443026883484,0.3482594355117788,0.2030595988035202
54,sin100,relu,3,1000,2.6641443042839126,1.5714793925728558,0.5787089414824236,0.23531650006771088
55,sin100,tanh,3,1000,1.1857433951046052,0.8992986211969692,0.24716734071044016,0.21666289865970612
56,sin100,relu,3,2000,1.4508667549591991,0.8915869198368095,0.5207553222443659,0.25229790806770325
57,sin100,tanh,3,2000,1.1052615604830065,0.8072554971171569,0.20640783148513697,0.2561790347099304
58,sin100,relu,3,4000,1.4246244194420106,0.7548876364381284,0.4296914519623742,0.27570652961730957
59,sin100,tanh,3,4000,0.9573679874745176,0.6949325895780434,0.13383298765662466,0.34548360109329224
60,sin100,relu,3,8000,1.4116578815204248,0.7316718026373428,0.2948059653284586,0.3243826627731323
61,sin100,tanh,3,8000,0.7803063040573718,0.5911433073698528,0.08083046187164239,0.516409158706665
62,sin100,relu,3,16000,1.422465578635084,0.8083006688612667,0.24769483729042283,0.41865530610084534
63,sin100,tanh,3,16000,0.5291098682137999,0.4125859341373379,0.03401419449237813,0.7335771918296814
64,sin100,relu,4,125,1.5730607485936103,0.9294537468589561,0.6982694857999401,0.27626875042915344
65,sin100,tanh,4,125,1.2711583525068104,1.0120129424970379,0.4086132627844088,0.236939936876297
66,sin100,relu,4,250,2.86329258647783,1.5981761828251588,0.6061856594070874,0.285886287689209
67,sin100,tanh,4,250,1.3360503781150543,0.9366355228285522,0.40078038538765537,0.24119490385055542
68,sin100,relu,4,500,2.8253246932051814,1.5929571508777227,0.6612887781594176,0.29210346937179565
69,sin100,tanh,4,500,1.354088497246876,0.9445285047642932,0.3233920745087258,0.2533118724822998
70,sin100,relu,4,1000,2.704883451400382,1.5709923556850316,0.5874888368628949,0.30216845870018005
71,sin100,tanh,4,1000,1.3182001152550527,0.9304403479786433,0.26549626839552404,0.2812725901603699
72,sin100,relu,4,2000,2.175628442611484,1.2297272380703634,0.4928532010035345,0.3208596408367157
73,sin100,tanh,4,2000,1.2852505311909246,0.7593789179290447,0.2237521599388299,0.3425588309764862
74,sin100,relu,4,4000,1.2066662077357793,0.68092187970141,0.4242637358319786,0.3707435429096222
75,sin100,tanh,4,4000,1.1413353619280378,0.6781758956701107,0.14430503601160224,0.4464471936225891
76,sin100,relu,4,8000,1.3120919455999305,0.6883263985258833,0.3244093590418369,0.42951831221580505
77,sin100,tanh,4,8000,1.0504720855195147,0.5961388898408353,0.07319516512252056,0.603708028793335
78,sin100,relu,4,16000,1.214951095938691,0.7182093786087443,0.21009223844311797,0.5524000525474548
79,sin100,tanh,4,16000,0.8168570375042719,0.4802329481710114,0.03933713572940171,0.7762240171432495
