,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
0,two_dim_toy100,relu,0,125,1.19643373933571,0.5413267709400644,0.6404419940333387,0.4947311580181122
1,two_dim_toy100,tanh,0,125,1.5118879869639006,0.6134282159109471,0.4201398567706011,0.38847270607948303
2,two_dim_toy100,relu,0,250,3.201903637830761,2.0175475576829793,0.6650826381813197,0.3312793970108032
3,two_dim_toy100,tanh,0,250,1.8211163117956208,0.9336344048284296,0.382660569342435,0.4866590201854706
4,two_dim_toy100,relu,0,500,1.3233713997120504,0.6705077308947135,0.6640273562146659,0.5379025936126709
5,two_dim_toy100,tanh,0,500,1.686207857788559,0.8682260342125534,0.3310891146080806,0.5060216784477234
6,two_dim_toy100,relu,0,1000,0.9690480796236906,0.46345204161168346,0.5862103243353354,0.599689781665802
7,two_dim_toy100,tanh,0,1000,1.8782303193018797,1.0389131302148724,0.3053249722177796,0.5643646717071533
8,two_dim_toy100,relu,0,2000,0.6453489202074677,0.3730042642832607,0.46778356736017124,0.846032440662384
9,two_dim_toy100,tanh,0,2000,1.0045162061513573,0.5168481519737753,0.2350366636607612,0.7398039698600769
10,two_dim_toy100,relu,0,4000,0.987624179810007,0.6492047207235695,0.4255012552595418,0.9570342898368835
11,two_dim_toy100,tanh,0,4000,0.7788419713624483,0.41737187906212425,0.1535624007723268,0.8297243118286133
12,two_dim_toy100,relu,0,8000,0.94925153218476,0.6992519303528433,0.3410246653148941,0.9378760457038879
13,two_dim_toy100,tanh,0,8000,0.4628764407632284,0.3155937839310317,0.08291409477172149,0.9115238189697266
14,two_dim_toy100,relu,0,16000,1.0886600902134347,0.7835948621504817,0.18681718573886544,0.944502055644989
15,two_dim_toy100,tanh,0,16000,0.3160564778667031,0.2005861120933041,0.02896723758736478,0.9245887398719788
16,two_dim_toy100,relu,1,125,2.472427774178744,1.3587975393125318,0.6679662503077841,0.3034219741821289
17,two_dim_toy100,tanh,1,125,2.064428491516714,0.9933595853390033,0.4047539359074728,0.37853044271469116
18,two_dim_toy100,relu,1,250,1.6516296606049072,0.8150743716487684,0.6454592873716769,0.47877904772758484
19,two_dim_toy100,tanh,1,250,1.528605758373125,0.728174583026205,0.4090095834099666,0.4210498332977295
20,two_dim_toy100,relu,1,500,0.9061450572188134,0.36674098017532303,0.6120538855907284,0.4797746241092682
21,two_dim_toy100,tanh,1,500,1.7149152109992807,0.8699636519442921,0.34953192397796795,0.5549861788749695
22,two_dim_toy100,relu,1,1000,0.9479788490577132,0.48271478003544854,0.6189544245737442,0.5363554954528809
23,two_dim_toy100,tanh,1,1000,1.7225061062797504,0.9725201344344769,0.2673239011053933,0.5924932360649109
24,two_dim_toy100,relu,1,2000,1.2457718172514516,0.6282901415229398,0.5579448013506901,0.6997008323669434
25,two_dim_toy100,tanh,1,2000,0.9268536234288982,0.5037396973362056,0.20766523711010718,0.7699257731437683
26,two_dim_toy100,relu,1,4000,1.0789079362891985,0.6249698606904303,0.39064197085975333,0.9553967714309692
